modality,pred_id,roi,ad,azimuth,dxx,dxy,dxz,dyy,dyz,dzz,fa,inclination,md,rd,ses,sub
pc-bssfp,14,GM,0.1953021899153934,4.979673605637415,0.4642291254244899,62.07713662616595,25.272763629089138,0.2940494428170625,32.24202663429855,0.2918574106994174,2.447802530313631,1.1149367598763458,0.3029752162113537,0.416193328643675,2.0,42.0
pc-bssfp,14,WM,0.2676209008491302,5.1590288088181415,0.279759048130889,13.6054070126156,13.318629269809056,0.3209204942490631,14.397130043478285,0.326355829786805,1.0327258497036058,1.4303834938708186,0.3271142691323045,0.3378560525489794,2.0,42.0
pc-bssfp,15,CSF,0.1805329144162757,3.014445561085354,0.0613774662330024,0.0588359643240913,0.0630279233624217,0.0613347078689097,0.0606096147795077,0.0591454592954479,2.923306104912628,0.9675667403551744,0.2905722099419858,0.2809911390300069,3.0,42.0
pc-bssfp,15,GM,0.175665917597176,4.580917194655405,0.0634463065750831,0.0743698441520133,0.1000897666103286,0.0640710512290912,0.0886934884063978,0.0826031551794919,2.538238171577059,1.0863647766124347,0.2678307047595145,0.3336702361620585,3.0,42.0
pc-bssfp,15,WM,0.2709973010228686,4.515018743239058,0.057077531631847,0.0790768175493359,0.0768043089588658,0.066139369926096,0.0750503949411304,0.0698625933379932,1.004202911955392,1.496001561743612,0.3191451689243765,0.3269767723386414,3.0,42.0
pc-bssfp,16,CSF,0.1580356493290446,3.0253093024446027,0.0572782909841145,0.0595828066455841,0.064093048145232,0.057228250519307,0.0613942287440429,0.0551764292296065,3.068165686653094,0.969802931136722,0.2858854867487224,0.2718876593851264,3.0,42.0
pc-bssfp,16,GM,0.1599071230585841,4.571896754689804,0.0614613697375583,0.0748336423299489,0.1005692280403702,0.061292699039748,0.0887223700865705,0.080941730613532,2.6577647530865898,1.0885197513018845,0.2593200335754865,0.3288695766869289,3.0,42.0
pc-bssfp,16,WM,0.2673405070393596,4.536706007441032,0.0563484303293715,0.0797646174951827,0.0773660516906549,0.0660808305665527,0.0756443745454239,0.0695785995349714,1.026483737979922,1.5915503469716477,0.3218104462805743,0.3290173330428304,3.0,42.0
pc-bssfp,17,CSF,0.1826516222914124,3.020083359345438,0.2437767414263942,28.953684939456604,25.622442621074494,0.2450455440369435,38.65351207733982,0.233466148165912,2.7623084276740872,0.963599515397712,0.2880047673659008,0.2730279307421774,3.0,42.0
pc-bssfp,17,GM,0.1727226841590638,4.592797390802591,0.3027452606088452,59.39968126911082,29.832773172316667,0.2745794018782374,42.68090154542293,0.2628874152333095,2.4745124766619773,1.0867186550687251,0.262766560786762,0.3279700501305096,3.0,42.0
pc-bssfp,17,WM,0.2701565950735143,4.5104851893746725,0.2942672513440734,23.390400837972315,24.25638291634637,0.3675340156372411,26.14259845347305,0.3207678229604382,0.9885375828993592,1.4723497786802824,0.3186802737579444,0.3241662184706926,3.0,42.0
pc-bssfp,18,CSF,867885994800.0974,3.622428701019227,0.0600973067382849,0.0466542406811366,0.0454699096789218,0.0616184553772417,0.0497066788603798,0.0598111427211931,2.0384824128108616,1.0998726995303598,0.2470438500630855,0.2806043851086002,1.0,86.0
pc-bssfp,18,GM,250119181250.21967,4.1167233324469805,0.0484546173590656,0.0603658656951951,0.0593310171634312,0.048321453295135,0.0633760606958459,0.0480702067929812,2.6438925667468784,1.350095375946963,0.2188006978299793,0.274039393324251,1.0,86.0
pc-bssfp,18,WM,0.2460488408488432,4.812118605713688,0.0492045821560504,0.0741775349177747,0.0713716220659818,0.0579454409371399,0.0713437468742381,0.0582055269805261,0.886283251385688,1.7670138699148572,0.2444065962732491,0.2537188467906604,1.0,86.0
pc-bssfp,19,CSF,882676252354.4022,3.617341899511987,0.2504467474161419,30.375500218083047,34.81314291717682,0.2511767056414434,62.29622738338312,0.2575137692513003,2.0489411359284966,1.097371336030618,0.240785917277477,0.274747599458436,1.0,86.0
